name,rank,country,points
Novak Djokovic,1,Serbia,"11,360"
Roger Federer,2,Switzerland,"9,775"
Rafael Nadal,3,Spain,"6,835"
Stan Wawrinka,4,Switzerland,"5,370"
Kei Nishikori,5,Japan,"5,025"
Andy Murray,6,Great Britain,"4,675"
Tomas Berdych,7,Czech Republic,"4,600"
Milos Raonic,8,Canada,"4,440"
Marin Cilic,9,Croatia,"4,150"
David Ferrer,10,Spain,"4,045"
Grigor Dimitrov,11,Bulgaria,"3,645"
Jo-Wilfried Tsonga,12,France,"2,740"
Ernests Gulbis,13,Latvia,"2,455"
Feliciano Lopez,14,Spain,"2,130"
Roberto Bautista Agut,15,Spain,"2,110"
Kevin Anderson,16,South Africa,"2,080"
Tommy Robredo,17,Spain,"2,015"
Gael Monfils,18,France,"1,900"
John Isner,19,USA,"1,890"
Fabio Fognini,20,Italy,"1,790"
Gilles Simon,21,France,"1,730"
David Goffin,22,Belgium,"1,599"
Alexandr Dolgopolov,23,Ukraine,"1,455"
Philipp Kohlschreiber,24,Germany,"1,415"
Julien Benneteau,25,France,"1,365"
Richard Gasquet,26,France,"1,350"
Ivo Karlovic,27,Croatia,"1,320"
Leonardo Mayer,28,Argentina,"1,299"
Jeremy Chardy,29,France,"1,240"
Pablo Cuevas,30,Uruguay,"1,222"
Lukas Rosol,31,Czech Republic,"1,210"
Santiago Giraldo,32,Colombia,"1,175"
Fernando Verdasco,33,Spain,"1,135"
Martin Klizan,34,Slovakia,"1,094"
Sam Querrey,35,USA,"1,090"
Guillermo Garcia-Lopez,36,Spain,"1,040"
Steve Johnson,37,United States,999
Yen-Hsun Lu,38,Chinese Taipei,993
Dominic Thiem,39,Austria,989
Benjamin Becker,40,Germany,973
Pablo Andujar,41,Spain,950
Jack Sock,42,USA,934
Jerzy Janowicz,43,Poland,915
Adrian Mannarino,44,France,898
Andreas Seppi,45,Italy,870
Marcel Granollers,46,Spain,860
Gilles Muller,47,Luxembourg,855
Mikhail Youzhny,48,Russia,850
Denis Istomin,49,Uzbekistan,850
Lleyton Hewitt,50,Australia,845
Pablo Carreno Busta,51,Spain,841
Nick Kyrgios,52,Australia,830
Vasek Pospisil,53,Canada,830
Joao Sousa,54,Portugal,822
Simone Bolelli,55,Italy,810
Bernard Tomic,56,Australia,797
Donald Young,57,USA,796
Sergiy Stakhovsky,58,Ukraine,781
Jan-Lennard Struff,59,Germany,781
Federico Delbonis,60,Argentina,775
Diego Schwartzman,61,Argentina,775
Juan Monaco,62,Argentina,770
Albert Ramos,63,Spain,761
Paolo Lorenzi,64,Italy,759
Thomaz Bellucci,65,Brazil,753
Jiri Vesely,66,Czech Republic,743
Teymuraz Gabashvili,67,Russia,730
Radek Stepanek,68,Czech Republic,715
Dusan Lajovic,69,Serbia,711
Mikhail Kukushkin,70,Kazakhstan,705
Nicolas Almagro,71,Spain,700
Carlos Berlocq,72,Argentina,700
Jarkko Nieminen,73,Finland,693
Andrey Golubev,74,Kazakhstan,691
Marinko Matosevic,75,Australia,682
Malek Jaziri,76,Tunisia,676
Tommy Haas,77,Germany,675
Victor Estrella Burgos,78,Dominican Republic,659
Peter Gojowczyk,79,Germany,641
Blaz Rola,80,Slovenia,632
Sam Groth,81,Australia,625
Andreas Haider-Maurer,82,Austria,621
Robin Haase,83,Netherlands,620
Igor Sijsling,84,Netherlands,619
Marcos Baghdatis,85,Cyprus,610
Richard Berankis,86,Lithuania,605
Edouard Roger-Vasselin,87,France,600
Alejandro Falla,88,Colombia,596
Dustin Brown,89,Germany,596
Joao Souza,90,Brazil,593
Alejandro Gonzalez,91,Colombia,582
Andrey Kuznetsov,92,Russia,580
Tatsuma Ito,93,Japan,576
Lukas Lacko,94,Slovakia,576
Ivan Dodig,95,Croatia,575
Borna Coric,96,Croatia,575
Paul-Henri Mathieu,97,France,565
Tobias Kamke,98,Germany,564
Dudi Sela,99,Israel,560
Go Soeda,100,Japan,559
Filip Krajinovic,101,Serbia,558
Viktor Troicki,102,Serbia,558
Maximo Gonzalez,103,Argentina,554
Marsel Ilhan,104,Turkey,553
Blaz Kavcic,105,Slovenia,551
Kenny De Schepper,106,France,540
James Ward,107,England,539
Albert Montanes,108,Spain,536
Damir Dzumhur,109,Bosnia-Herzegovina,526
Dmitry Tursunov,110,Russia,520
Pierre-Hugues Herbert,111,France,511
Daniel Gimeno-Traver,112,Spain,510
Jurgen Melzer,113,Austria,505
Pere Riba,114,Spain,505
Tim Smyczek,115,United States,502
Andreas Beck,116,Germany,493
Nicolas Mahut,117,France,490
Benoit Paire,118,France,474
Alexander Kudryavtsev,119,Russia,464
Farrukh Dustov,120,Uzbekistan,460
Denis Kudla,121,United States,458
Victor Hanescu,122,Romania,455
Horacio Zeballos,123,Argentina,455
Jimmy Wang,124,Chinese Taipei,450
Facundo Bagnis,125,Argentina,443
Norbert Gombos,126,Slovakia,443
James Duckworth,127,Australia,430
Michael Berrer,128,Germany,427
Aleksandr Nedovyesov,129,Kazakhstan,421
Evgeny Donskoy,130,Russia,421
Yuichi Sugita,131,Japan,420
Gastao Elias,132,Portugal,416
Lucas Pouille,133,France,408
Stephane Robert,134,France,407
Adrian Menendez-Maceiras,135,Spain,397
Alexander Zverev,136,Germany,389
Juan Martin del Potro,137,Argentina,385
Somdev Devvarman,138,India,381
Rajeev Ram,139,USA,381
Jason Kubler,140,Australia,381
Matthias Bachinger,141,Germany,378
Facundo Arguello,142,Argentina,377
Illya Marchenko,143,Ukraine,375
Thiemo De Bakker,144,Netherlands,375
Aljaz Bedene,145,Slovenia,370
Hiroki Moriya,146,Japan,366
Florian Mayer,147,Germany,365
Bradley Klahn,148,USA,365
Frank Dancevic,149,Canada,362
Thanasi Kokkinakis,150,Australia,353
Luca Vanni,151,Italy,353
Austin Krajicek,152,United States,350
Mate Delic,153,Croatia,336
Vincent Millot,154,France,335
Guido Pella,155,Argentina,333
Yoshihito Nishioka,156,Japan,328
John Millman,157,Australia,328
Adrian Ungur,158,Romania,327
Michael Russell,159,USA,325
Marco Cecchinato,160,Italy,324
Steve Darcis,161,Belgium,317
Marton Fucsovics,162,Hungary,317
Gerald Melzer,163,Austria,316
Potito Starace,164,Italy,314
Luke Saville,165,Australia,313
Andre Ghem,166,Brazil,313
Roberto Carballes Baena,167,Spain,307
Radu Albot,168,Moldova,306
Ante Pavic,169,Croatia,303
Lukasz Kubot,170,Poland,302
Wayne Odesnik,171,United States,300
Marius Copil,172,Romania,299
Hyeon Chung,173,South Korea,299
Michal Przysiezny,174,Poland,298
Denys Molchanov,175,Ukraine,297
Ruben Bemelmans,176,Belgium,295
Taro Daniel,177,Japan,293
Andrej Martin,178,Slovakia,288
Kimmer Coppejans,179,Belgium,283
Andrea Arnaboldi,180,Italy,281
Alex Kuznetsov,181,United States,279
Nikoloz Basilashvili,182,Georgia,277
Julian Reister,183,Germany,276
Ze Zhang,184,China,271
Peter Polansky,185,Canada,270
Tim Puetz,186,Germany,268
Guido Andreozzi,187,Argentina,268
Jurgen Zopp,188,Estonia,264
Matteo Viola,189,Italy,262
Ryan Harrison,190,USA,261
Chase Buchanan,191,United States,261
Jarmere Jenkins,192,United States,260
Kyle Edmund,193,England,260
Jesse Huta Galung,194,Netherlands,257
Liam Broady,195,England,254
Miloslav Mecir,196,Slovakia,248
Stefano Travaglia,197,Italy,247
Hans Podlipnik-Castillo,198,Chile,245
Jan Hernych,199,Czech Republic,244
James McGee,200,Ireland,244
