"name","height","weight","hand","age","rank","country","points"
"Novak Djokovic",187.96,79.832192,0,27,1,"Serbia","11,360"
"Roger Federer",185.42,84.821704,0,33,2,"Switzerland","9,775"
"Rafael Nadal",185.42,85.275296,1,28,3,"Spain","6,835"
"Stan Wawrinka",182.88,78.925008,0,29,4,"Switzerland","5,370"
"Kei Nishikori",177.8,68.0388,0,24,5,"Japan","5,025"
"Andy Murray",190.5,83.91452,0,27,6,"Great Britain","4,675"
"Tomas Berdych",195.58,90.7184,0,29,7,"Czech Republic","4,600"
"Marin Cilic",198.12,81.64656,0,26,9,"Croatia","4,150"
"David Ferrer",175.26,72.57472,0,32,10,"Spain","4,045"
"Grigor Dimitrov",187.96,76.657048,0,23,11,"Bulgaria","3,645"
"Jo-Wilfried Tsonga",187.96,90.7184,0,29,12,"France","2,740"
"Ernests Gulbis",190.5,76.657048,0,26,13,"Latvia","2,455"
"Feliciano Lopez",187.96,84.821704,1,33,14,"Spain","2,130"
"Kevin Anderson",203.2,88.45044,0,28,16,"South Africa","2,080"
"Tommy Robredo",180.34,74.84268,0,32,17,"Spain","2,015"
"Gael Monfils",193.04,80.285784,0,28,18,"France","1,900"
"John Isner",205.74,111.13004,0,29,19,"USA","1,890"
"Fabio Fognini",177.8,73.935496,0,27,20,"Italy","1,790"
"Gilles Simon",180.34,68.945984,0,30,21,"France","1,730"
"David Goffin",180.34,68.0388,0,24,22,"Belgium","1,599"
"Alexandr Dolgopolov",182.88,87.089664,0,26,23,"Ukraine","1,455"
"Philipp Kohlschreiber",177.8,69.853168,0,31,24,"Germany","1,415"
"Julien Benneteau",177.8,77.11064,0,33,25,"France","1,365"
"Richard Gasquet",185.42,74.84268,0,28,26,"France","1,350"
"Ivo Karlovic",208.28,104.32616,0,35,27,"Croatia","1,320"
"Leonardo Mayer",190.5,80.739376,0,27,28,"Argentina","1,299"
"Jeremy Chardy",187.96,74.84268,0,27,29,"France","1,240"
"Pablo Cuevas",180.34,73.028312,0,28,30,"Uruguay","1,222"
"Lukas Rosol",193.04,78.017824,0,29,31,"Czech Republic","1,210"
"Santiago Giraldo",187.96,74.84268,0,27,32,"Colombia","1,175"
"Fernando Verdasco",187.96,81.192968,1,31,33,"Spain","1,135"
"Martin Klizan",187.96,72.121128,1,25,34,"Slovakia","1,094"
"Sam Querrey",198.12,90.7184,0,27,35,"USA","1,090"
"Guillermo Garcia-Lopez",187.96,81.64656,0,31,36,"Spain","1,040"
"Steve Johnson",187.96,86.18248,0,25,37,"United States","999"
"Yen-Hsun Lu",180.34,67.131616,0,31,38,"Chinese Taipei","993"
"Benjamin Becker",177.8,78.925008,0,33,40,"Germany","973"
"Pablo Andujar",180.34,76.203456,0,28,41,"Spain","950"
"Jack Sock",185.42,81.64656,0,22,42,"USA","934"
"Andreas Seppi",190.5,70.760352,0,30,45,"Italy","870"
"Marcel Granollers",190.5,76.657048,0,28,46,"Spain","860"
"Gilles Muller",195.58,83.007336,1,31,47,"Luxembourg","855"
"Mikhail Youzhny",182.88,72.57472,0,32,48,"Russia","850"
"Denis Istomin",187.96,83.007336,0,28,49,"Uzbekistan","850"
"Lleyton Hewitt",180.34,77.11064,0,33,50,"Australia","845"
"Simone Bolelli",182.88,78.925008,0,29,55,"Italy","810"
"Donald Young",175.26,65.77084,1,25,57,"USA","796"
"Sergiy Stakhovsky",193.04,79.832192,0,28,58,"Ukraine","781"
"Diego Schwartzman",170.18,63.50288,0,22,61,"Argentina","775"
"Juan Monaco",185.42,76.657048,0,30,62,"Argentina","770"
"Paolo Lorenzi",182.88,76.657048,0,33,64,"Italy","759"
"Thomaz Bellucci",187.96,80.285784,1,26,65,"Brazil","753"
"Teymuraz Gabashvili",187.96,83.91452,0,29,67,"Russia","730"
"Radek Stepanek",185.42,75.749864,0,36,68,"Czech Republic","715"
"Dusan Lajovic",182.88,78.925008,0,24,69,"Serbia","711"
"Mikhail Kukushkin",185.42,73.935496,0,27,70,"Kazakhstan","705"
"Nicolas Almagro",182.88,81.192968,0,29,71,"Spain","700"
"Carlos Berlocq",182.88,74.84268,0,31,72,"Argentina","700"
"Jarkko Nieminen",185.42,78.017824,1,33,73,"Finland","693"
"Andrey Golubev",185.42,72.121128,0,27,74,"Kazakhstan","691"
"Marinko Matosevic",195.58,86.18248,0,29,75,"Australia","682"
"Tommy Haas",187.96,88.45044,0,36,77,"Germany","675"
"Peter Gojowczyk",185.42,83.007336,0,25,79,"Germany","641"
"Blaz Rola",193.04,79.3786,1,24,80,"Slovenia","632"
"Robin Haase",190.5,71.667536,0,27,83,"Netherlands","620"
"Igor Sijsling",190.5,87.089664,0,27,84,"Netherlands","619"
"Marcos Baghdatis",182.88,80.285784,0,29,85,"Cyprus","610"
"Edouard Roger-Vasselin",187.96,74.84268,0,31,87,"France","600"
"Alejandro Falla",185.42,76.657048,1,31,88,"Colombia","596"
"Joao Souza",193.04,87.996848,0,26,90,"Brazil","593"
"Alejandro Gonzalez",190.5,83.007336,0,25,91,"Colombia","582"
"Tatsuma Ito",180.34,74.84268,0,26,93,"Japan","576"
"Lukas Lacko",185.42,83.91452,0,27,94,"Slovakia","576"
"Ivan Dodig",182.88,79.832192,0,29,95,"Croatia","575"
"Paul-Henri Mathieu",185.42,73.935496,0,32,97,"France","565"
"Tobias Kamke",180.34,73.935496,0,28,98,"Germany","564"
"Dudi Sela",175.26,66.678024,0,29,99,"Israel","560"
"Go Soeda",180.34,75.749864,0,30,100,"Japan","559"
"Viktor Troicki",193.04,85.728888,0,28,102,"Serbia","558"
"Maximo Gonzalez",175.26,73.935496,0,31,103,"Argentina","554"
"Marsel Ilhan",190.5,78.017824,0,27,104,"Turkey","553"
"James Ward",190.5,72.121128,0,27,107,"England","539"
"Albert Montanes",175.26,70.30676,0,34,108,"Spain","536"
"Dmitry Tursunov",185.42,81.64656,0,32,110,"Russia","520"
"Daniel Gimeno-Traver",185.42,77.11064,0,29,112,"Spain","510"
"Jurgen Melzer",182.88,74.84268,1,33,113,"Austria","505"
"Pere Riba",182.88,70.760352,0,26,114,"Spain","505"
"Tim Smyczek",175.26,65.77084,0,26,115,"United States","502"
"Andreas Beck",190.5,85.728888,1,28,116,"Germany","493"
"Nicolas Mahut",190.5,79.832192,0,32,117,"France","490"
"Benoit Paire",195.58,79.832192,0,25,118,"France","474"
"Farrukh Dustov",195.58,89.811216,0,28,120,"Uzbekistan","460"
"Denis Kudla",180.34,74.84268,0,22,121,"United States","458"
"Victor Hanescu",198.12,84.821704,0,33,122,"Romania","455"
"Horacio Zeballos",187.96,78.017824,1,29,123,"Argentina","455"
"Michael Berrer",190.5,99.79024,1,34,128,"Germany","427"
