Winner,Loser,WRank,LRank
Matosevic M.,Benneteau J.,61,35
Nieminen J.,Duckworth J.,39,136
Cilic M.,Istomin D.,37,45
Querrey S.,Tursunov D.,46,29
Dimitrov G.,Haase R.,23,43
Mahut N.,Sijsling I.,50,70
Ebden M.,Kuznetsov Al.,68,142
Lopez F.,Kukushkin M.,28,67
Chardy J.,Mannarino A.,34,59
Copil M.,Sugita Y.,147,170
Hewitt L.,Kokkinakis T.,60,628
Groth S.,Harrison R.,172,100
Matosevic M.,Querrey S.,61,46
Cilic M.,Dimitrov G.,37,23
Nishikori K.,Ebden M.,17,68
Federer R.,Nieminen J.,6,39
Chardy J.,Mahut N.,34,50
Copil M.,Simon G.,147,19
Hewitt L.,Lopez F.,60,28
Groth S.,Herbert P.H.,172,151
Nishikori K.,Cilic M.,17,37
Hewitt L.,Copil M.,60,147
Chardy J.,Groth S.,34,172
Federer R.,Matosevic M.,6,61
Hewitt L.,Nishikori K.,60,17
Federer R.,Chardy J.,6,34
Hewitt L.,Federer R.,60,6
Lu Y.H.,Smyczek T.,65,89
Vesely J.,Nedunchezhiyan J.,85,314
Sela D.,Lacko L.,73,81
Pospisil V.,Edmund K.,32,376
Bedene A.,Laaksonen H.,95,244
Roger-Vasselin E.,Ramos A.,52,83
Bhambri Y.,Carreno-Busta P.,195,64
Kudryavtsev A.,Bautista R.,270,58
Ramanathan R.,Devvarman S.,526,90
Becker B.,Reister J.,79,86
Granollers M.,Albot R.,222,169
Garcia-Lopez G.,Nedovyesov A.,62,93
Roger-Vasselin E.,Vesely J.,52,85
Sela D.,Youzhny M.,73,15
Wawrinka S.,Becker B.,8,79
Bedene A.,Kudryavtsev A.,95,270
Bhambri Y.,Fognini F.,195,16
Granollers M.,Ramanathan R.,222,526
Pospisil V.,Lu Y.H.,32,65
Paire B.,Garcia-Lopez G.,26,62
Roger-Vasselin E.,Sela D.,52,73
Wawrinka S.,Bedene A.,8,95
Granollers M.,Paire B.,222,26
Pospisil V.,Bhambri Y.,32,195
Roger-Vasselin E.,Granollers M.,52,222
Wawrinka S.,Pospisil V.,8,32
Wawrinka S.,Roger-Vasselin E.,8,52
Monfils G.,Giraldo S.,31,69
Kubot L.,Gimeno-Traver D.,72,77
Karlovic I.,Berdych T.,78,7
Verdasco F.,Volandri F.,30,71
Hanescu V.,Sousa J.,80,49
Kamke T.,Jaziri M.,74,168
Brown D.,Dodig I.,111,33
Gojowczyk P.,Thiem D.,162,139
Murray A.,Zayed M.S.,4,NA
Brands D.,Davydenko N.,54,53
Ferrer D.,Dolgopolov O.,3,57
Mayer F.,Przysiezny M.,40,66
Gulbis E.,Evans D.,24,150
Nadal R.,Rosol L.,1,47
Kohlschreiber P.,Andujar P.,22,48
Gasquet R.,Hossam K.,9,338
Gojowczyk P.,Kohlschreiber P.,162,22
Mayer F.,Murray A.,40,4
Hanescu V.,Verdasco F.,80,30
Brown D.,Karlovic I.,111,78
Nadal R.,Kamke T.,1,74
Gulbis E.,Kubot L.,24,72
Brands D.,Ferrer D.,54,3
