name,height,weight,hand,age
Jorge Aguilar,175.26,63.956472,0,29
Nicolas Almagro,182.88,81.192968,0,29
Martin Alund,182.88,79.832192,0,29
Prakash Amritraj,187.96,74.84268,0,31
Kevin Anderson,203.2,88.45044,0,28
Igor Andreev,182.88,79.832192,0,31
Pablo Andujar,180.34,76.203456,0,28
Matthias Bachinger,187.96,83.007336,0,27
Marcos Baghdatis,182.88,80.285784,0,29
Brian Baker,190.5,77.11064,0,29
Jamie Baker,182.88,74.84268,0,28
Benjamin Balleret,185.42,84.821704,0,31
Andreas Beck,190.5,85.728888,1,28
Benjamin Becker,177.8,78.925008,0,33
Thomaz Bellucci,187.96,80.285784,1,26
Julien Benneteau,177.8,77.11064,0,33
Ricardas Berankis,175.26,70.30676,0,24
Tomas Berdych,195.58,90.7184,0,29
Carlos Berlocq,182.88,74.84268,0,31
Michael Berrer,190.5,99.79024,1,34
Mahesh Bhupathi,185.42,88.45044,0,40
James Blake,185.42,83.007336,0,34
Alex Bogomolov Jr.,177.8,70.30676,0,31
Stephane Bohli,185.42,79.832192,0,31
Simone Bolelli,182.88,78.925008,0,29
Rohan Bopanna,190.5,81.64656,0,34
Ilija Bozoljac,193.04,85.728888,0,29
Daniele Bracciali,180.34,78.017824,0,36
Daniel Brands,195.58,92.079176,0,27
Arnau Brugues-Davi,182.88,82.100152,1,29
Johan Brunstrom,193.04,88.904032,1,34
Bob Bryan,193.04,91.625584,1,36
Mike Bryan,190.5,87.089664,0,36
Eric Butorac,190.5,81.64656,1,33
Juan Sebastian Cabal,185.42,82.100152,0,28
Paul Capdeville,190.5,78.017824,0,31
Frantisek Cermak,193.04,79.832192,0,38
James Cerretani,185.42,79.3786,1,33
Inigo Cervantes,182.88,78.017824,0,25
Jeremy Chardy,187.96,74.84268,0,27
Marco Chiudinelli,187.96,78.925008,0,33
Marin Cilic,198.12,81.64656,0,26
Flavio Cipolla,172.72,73.935496,0,31
Pablo Cuevas,180.34,73.028312,0,28
Frank Dancevic,185.42,79.3786,0,30
Steve Darcis,177.8,73.028312,0,30
Nikolay Davydenko,177.8,69.853168,0,33
Thiemo De Bakker,190.5,78.017824,0,26
Rik De Voest,180.34,68.0388,0,34
Jamie Delgado,177.8,70.30676,0,37
Somdev Devvarman,177.8,63.956472,0,29
Grigor Dimitrov,187.96,76.657048,0,23
Novak Djokovic,187.96,79.832192,0,27
Lukas Dlouhy,185.42,87.996848,0,31
Ivan Dodig,182.88,79.832192,0,29
Alexandr Dolgopolov,182.88,87.089664,0,26
Farrukh Dustov,195.58,89.811216,0,28
Mikhail Elgin,182.88,78.017824,0,33
Gastao Elias,180.34,69.853168,0,24
Martin Emmrich,182.88,80.739376,1,30
Jonathan Erlich,180.34,81.64656,0,37
Jonathan Eysseric,175.26,72.57472,1,24
Alejandro Falla,185.42,76.657048,1,31
Robert Farah,187.96,83.91452,0,27
Roger Federer,185.42,84.821704,0,33
David Ferrer,175.26,72.57472,0,32
Martin Fischer,172.72,49.89512,0,28
Mardy Fish,187.96,81.64656,0,33
Colin Fleming,187.96,82.553744,0,30
Fabio Fognini,177.8,73.935496,0,27
Mariusz Fyrstenberg,193.04,79.832192,1,34
Teymuraz Gabashvili,187.96,83.91452,0,29
Guillermo Garcia-Lopez,187.96,81.64656,0,31
Richard Gasquet,185.42,74.84268,0,28
Riccardo Ghedin,187.96,72.57472,0,29
Andre Ghem,193.04,86.18248,0,32
Marc Gicquel,187.96,74.84268,0,37
Daniel Gimeno-Traver,185.42,77.11064,0,29
Robby Ginepri,182.88,79.3786,0,32
Santiago Giraldo,187.96,74.84268,0,27
David Goffin,180.34,68.0388,0,24
Peter Gojowczyk,185.42,83.007336,0,25
Andrey Golubev,185.42,72.121128,0,27
Alejandro Gonzalez,190.5,83.007336,0,25
Maximo Gonzalez,175.26,73.935496,0,31
Santiago Gonzalez,190.5,84.821704,0,31
Marcel Granollers,190.5,76.657048,0,28
Chris Guccione,200.66,91.625584,1,29
Ernests Gulbis,190.5,76.657048,0,26
Tommy Haas,187.96,88.45044,0,36
Robin Haase,190.5,71.667536,0,27
Jan Hajek,182.88,74.84268,0,31
Victor Hanescu,198.12,84.821704,0,33
Paul Hanley,182.88,76.203456,0,37
Ryan Harrison,182.88,74.84268,0,22
Jan Hernych,190.5,83.007336,0,35
Lleyton Hewitt,180.34,77.11064,0,33
Treat Huey,177.8,77.11064,1,29
Jesse Huta Galung,185.42,79.832192,0,29
Marsel Ilhan,190.5,78.017824,0,27
Dominic Inglot,195.58,94.800728,0,28
John Isner,205.74,111.13004,0,29
Denis Istomin,187.96,83.007336,0,28
Tatsuma Ito,180.34,74.84268,0,26
Joachim Johansson,198.12,89.811216,0,32
Steve Johnson,187.96,86.18248,0,25
Greg Jones,185.42,77.11064,0,25
Tobias Kamke,180.34,73.935496,0,28
Ivo Karlovic,208.28,104.32616,0,35
Christopher Kas,187.96,78.925008,0,34
Daniel King-Turner,190.5,81.192968,0,30
Raven Klaasen,180.34,71.213944,0,32
Bradley Klahn,182.88,72.57472,1,24
Ivo Klec,182.88,82.100152,0,34
Martin Klizan,187.96,72.121128,1,25
Bastian Knittel,180.34,71.213944,1,31
Julian Knowle,187.96,71.667536,1,40
Mark Knowles,190.5,88.45044,0,43
Philipp Kohlschreiber,177.8,69.853168,0,31
Henri Kontinen,187.96,79.832192,0,24
Evgeny Korolev,185.42,81.64656,0,26
Austin Krajicek,185.42,72.57472,1,24
Konstantin Kravchuk,190.5,79.832192,0,29
Kevin Krawietz,190.5,83.007336,0,22
Lukasz Kubot,190.5,86.18248,0,32
Denis Kudla,180.34,74.84268,0,22
Mikhail Kukushkin,185.42,73.935496,0,27
Igor Kunitsyn,180.34,74.84268,0,33
Alex Kuznetsov,182.88,76.203456,0,27
Lukas Lacko,185.42,83.91452,0,27
Dusan Lajovic,182.88,78.925008,0,24
Michael Lammer,185.42,73.028312,0,32
Nils Langer,193.04,73.028312,0,24
Jesse Levine,175.26,68.0388,1,27
Jaroslav Levinsky,195.58,84.821704,0,33
Robert Lindstedt,190.5,82.553744,0,37
Michael Llodra,190.5,79.832192,1,34
Feliciano Lopez,187.96,84.821704,1,33
Marc Lopez,175.26,71.213944,0,32
Paolo Lorenzi,182.88,76.657048,0,33
Yen-Hsun Lu,180.34,67.131616,0,31
Nicolas Mahut,190.5,79.832192,0,32
Xavier Malisse,185.42,77.11064,0,34
Oliver Marach,185.42,78.017824,0,34
Illya Marchenko,185.42,76.203456,0,27
Jonathan Marray,187.96,76.203456,0,33
David Marrero,185.42,84.821704,0,34
Andrej Martin,180.34,72.121128,0,25
Philipp Marx,187.96,74.84268,0,32
Nicolas Massu,182.88,80.285784,0,35
Paul-Henri Mathieu,185.42,73.935496,0,32
Marcin Matkowski,187.96,80.739376,0,33
Marinko Matosevic,195.58,86.18248,0,29
Florian Mayer,190.5,81.64656,0,31
Leonardo Mayer,190.5,80.739376,0,27
James McGee,180.34,79.832192,0,27
Dominik Meffert,198.12,94.800728,0,33
Ricardo Mello,175.26,66.224432,1,34
Marcelo Melo,203.2,87.089664,0,31
Gerald Melzer,190.5,79.832192,1,24
Jurgen Melzer,182.88,74.84268,1,33
Florin Mergea,180.34,78.471416,0,29
Michal Mertinak,180.34,84.821704,0,35
Vincent Millot,172.72,78.017824,1,28
Max Mirnyi,195.58,92.98636,0,37
Juan Monaco,185.42,76.657048,0,30
Gael Monfils,193.04,80.285784,0,28
Nicholas Monroe,177.8,72.57472,0,32
Albert Montanes,175.26,70.30676,0,34
Frank Moser,193.04,86.18248,0,38
Gilles Muller,195.58,83.007336,1,31
Andy Murray,190.5,83.91452,0,27
Jamie Murray,190.5,84.368112,1,28
Rafael Nadal,185.42,85.275296,1,28
David Nalbandian,180.34,79.3786,0,32
Gianluca Naso,190.5,84.821704,0,27
Aleksandr Nedovyesov,193.04,81.192968,0,27
Daniel Nestor,190.5,86.18248,1,42
Frederik Nielsen,190.5,76.203456,0,31
